id,name,manufacturer,model,category,price_brl,power_w,efficiency,voltage_v,current_a,image,image_url,source,availability,description,image_tier,specs_count
"odex_inverters_ODEX-ESTRUTURA-PRATYC-LAJE","Estrutura Pratyc Laje Plana PRL-25","Pratyc","Estrutura Pratyc Laj","inverters","158","","25","25","","","/images/placeholder-inverter.jpg","","true","Estrutura Pratyc Laje Plana PRL-25","","4"
"odex_inverters_ODEX-ESTRUTURA-PRATYC-SOLO","Estrutura Pratyc Solo Fixo PRS-1600","Pratyc","Estrutura Pratyc Sol","inverters","1399","","1600","1600","","","/images/placeholder-inverter.jpg","","true","Estrutura Pratyc Solo Fixo PRS-1600","","4"
"odex_inverters_ODEX-ESTRUTURA-K2SYSTEMS-FIBROCIMENTO","Estrutura K2 Systems SingleRail Fibrocimento","K2 Systems","Estrutura K2 Systems","inverters","185","","2","2","","","/images/placeholder-inverter.jpg","","true","Estrutura K2 Systems SingleRail Fibrocimento","","5"
"odex_inverters_ODEX-ESTRUTURA-K2SYSTEMS-COLONIAL","Estrutura K2 Systems SingleRail Colonial","K2 Systems","Estrutura K2 Systems","inverters","198","","2","2","","","/images/placeholder-inverter.jpg","","true","Estrutura K2 Systems SingleRail Colonial","","5"
"odex_inverters_ODEX-ESTRUTURA-K2SYSTEMS-METALICO","Estrutura K2 Systems SingleRail Metálico","K2 Systems","Estrutura K2 Systems","inverters","175","","2","2","","","/images/placeholder-inverter.jpg","","true","Estrutura K2 Systems SingleRail Metálico","","5"
"odex_inverters_ODEX-ESTRUTURA-K2SYSTEMS-SOLO","Estrutura K2 Systems CrossRail Solo Fixo","K2 Systems","Estrutura K2 Systems","inverters","2250","","2","2","","","/images/placeholder-inverter.jpg","","true","Estrutura K2 Systems CrossRail Solo Fixo","","4"
"odex_inverters_ODEX-ESTRUTURA-K2SYSTEMS-LAJE","Estrutura K2 Systems MiniRail Laje","K2 Systems","Estrutura K2 Systems","inverters","189","","2","2","","","/images/placeholder-inverter.jpg","","true","Estrutura K2 Systems MiniRail Laje","","4"
"odex_inverters_ODEX-ESTRUTURA-K2SYSTEMS-METALICO-1","Estrutura K2 Systems BaseRail Plus Universal","K2 Systems","Estrutura K2 Systems","inverters","203","","2","2","","","/images/placeholder-inverter.jpg","","true","Estrutura K2 Systems BaseRail Plus Universal","","4"
"odex_inverters_ODEX-ESTRUTURA-K2SYSTEMS-SOLO-1","Estrutura K2 Systems Dome 6° Solo","K2 Systems","Estrutura K2 Systems","inverters","1890","","2","2","","","/images/placeholder-inverter.jpg","","true","Estrutura K2 Systems Dome 6° Solo","","4"
"odex_inverters_ODEX-ESTRUTURA-K2SYSTEMS-SOLO-2","Estrutura K2 Systems Dome 10° Solo","K2 Systems","Estrutura K2 Systems","inverters","2150","","2","2","","","/images/placeholder-inverter.jpg","","true","Estrutura K2 Systems Dome 10° Solo","","4"
